"Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"5143","GROUND WATER FROM DHEKIAJULI
TOWN NIJARAPAR)P.O.DHEKIAJULI","ASSAM","24","24","6.6","6.6","210","210","2.1","2.1","1.2","1.2","1.8","1.8","1.8","1.8","138","138","0.3","0.3","",""
"Water Quality Data of Ground Water in Bihar Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1826","BORE WELL WATER AT BHOOTNATH
ROAD WATER TANK SEC-3,
KANKARBAGH,PATNA","BIHAR","21","29","7.11","7.7","410","526","1","1.5","0.3","0.3","1.8","1.8","1.8","1.8","294","294","0.68","0.68","",""
"1827","TAP WATER COMING FROM OVER HEAD
TANK PMCH CAMPUS, PATNA","BIHAR","21","29","7.15","7.76","471","556","1","1.6","0.37","0.83","1.8","1.8","1.8","1.8","316","342","0.95","0.95","",""
"1828","BORE WELL WATER IN CAMPUS OF
PATNA WATER BOARD HEAD OFFICE,
NEAR HIGH COURT, PATNA","BIHAR","24","27","7.64","7.96","513","887","1","1","0.61","1.53","1.8","1.8","1.8","1.8","356","508","0.84","0.84","",""
"1829","BORE WELL WATER FROM IGIMS
CAMPUS, PATNA","BIHAR","20","28","7.04","7.63","436","774","1","1","0.3","0.93","1.8","1.8","1.8","1.8","306","446","0.27","0.58","",""
"1830","BORE WELL WATER (PHED PUMP HOUSE)
SADAR HOSPITAL CAMPUS,
MUZAFFARPUR","BIHAR","22","25","7.02","7.29","855","892","1","1","0.3","0.3","1.8","1.8","1.8","1.8","492","688","0.2","0.88","",""
"1831","BORE WELL WATER MMC PUMP HOUSE
BRAHMPURA NAKA, MUZAFFARPUR","BIHAR","22","27","7.38","7.41","286","812","1","1","0.59","2.33","1.8","1.8","1.8","1.8","214","506","0.2","0.87","",""
"1832","TAP WATER IN CAMPUS OF KALI
ASTHAN, BISHANPUR, BEGUSARAI","BIHAR","20","26","6.91","7.59","524","988","1","1","0.3","0.3","1.8","17000","1.8","22000","460","718","0.51","0.9","",""
"1833","GROUND WATER NEAR TAP WATER IN
CAMPUS OF S.P OFFICE, POKHARIA,
BEGUSARAI","BIHAR","20","26","7.02","7.63","567","972","1","1","0.3","1.21","1.8","1.8","1.8","1.8","560","710","0.63","0.82","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1834","HAND PUMP WATER NEAR GOVT.
HOSPITAL, PURNEA","BIHAR","20","22","6.65","7.73","699","916","1","1","0.3","14.22","1.8","7","1.8","13","428","560","0.59","0.98","",""
"1835","HAND PUMP WATER NEAR LOWER
COURT LOWER COURT, PURNEA","BIHAR","19","22","6.98","7.6","428","483","1","1","0.3","0.3","1.8","4900","1.8","7000","100","284","0.55","0.82","",""
"1836","HAND PUMP WATER NEAR BUS STAND
TILKA MANJHI CHOWK, BHAGALPUR","BIHAR","20","22","7.15","7.23","620","794","1","1","0.33","2.82","1.8","1.8","1.8","1.8","330","380","0.2","0.88","",""
"1837","GROUND WATER FROM RAILWAY
STATION, BHAGALPUR","BIHAR","21","22","7.09","7.1","884","1409","1","1","2.82","4.49","1.8","1.8","1.8","1.8","648","1038","0.2","1.1","",""
"1838","GROUND WATER FROM TAP WATER
NEAR VEER KUWAR SINGH CHOWK,
MUNGER","BIHAR","23","28","6.96","7.8","1070","1523","1","1","1.69","5.38","1.8","1.8","1.8","1.8","664","1330","0.2","0.86","",""
"1839","HAND PUMP WATER IN CAMPUS OF
KASTURBA WATER WORKS, MUNGER","BIHAR","22","28","7.05","7.11","305","898","1","1","0.3","3.92","1.8","1.8","1.8","1.8","198","550","0.2","0.64","",""
"1840","TAP WATER PHED PUMP HOUSE MAIN
ROAD, MOTIHARI","BIHAR","27","27","7.15","7.15","546","546","1","1","0.3","0.3","","","","","378","378","0.27","0.27","",""
"1841","GROUNDWATER WATER FROM T.
MODAL INTER SCHOOL, G.B ROAD, GAYA","BIHAR","20","25","7.13","7.39","720","1015","1","1","0.3","2.49","1.8","13","1.8","23","574","684","0.6","1","",""
"1842","BOREWELL WATER DANDIBAGH WATER
WORKS, PHED, GAYA","BIHAR","31","31","7.08","7.08","512","512","1","1","3.7","3.7","1.8","1.8","1.8","1.8","358","358","1.07","1.07","",""
"1843","SUPPLY WATER NEAR BUS STAND,
RAJGIR","BIHAR","20","27","7.6","7.7","410","565","1","1","0.3","0.3","1.8","1.8","1.8","4.5","218","316","0.39","0.59","",""
"1844","BORE WELL WATER NEAR
COMMISSIONARY OFFICE, CHAPRA","BIHAR","26","28","7.08","7.14","832","1175","1","1","2.3","3.43","1.8","13","1.8","23","420","694","0.86","1.47","",""
"2576","HAND PUMP WATER AT CIVIL COURT,
AURANGABAD","BIHAR","25","25","7.07","7.07","1377","1377","1.1","1.1","4.02","4.02","1.8","1.8","1.8","1.8","868","868","1.27","1.27","",""
"2577","HAND PUMP WATER AT COURT
CAMPOUND, ARARIA","BIHAR","22","28","6.83","7.62","486","526","1","1","0.3","5.36","1.8","1.8","1.8","1.8","100","348","0.94","0.94","",""
"2578","HAND PUMP WATER AT SARDAR PATEL
BUS STAND, ARA, BHOJPUR","BIHAR","21","21","7.05","7.14","844","878","1","1","0.54","3.98","1.8","1.8","1.8","1.8","500","544","0.61","0.63","",""
"2579","TUBE WELL WATER AT COLLECTRIATE
CAMPUS, BUXAR","BIHAR","22","29","7.05","7.17","553","720","1","1","2.29","2.33","1.8","1.8","1.8","1.8","280","484","0.2","1.11","",""
"2580","HAND PUMP WATER FROM NAGAR
PARISHAD OFFICE, BHABHUA","BIHAR","27","28","6.69","7.21","611","873","1","1.2","0.3","2.41","1.8","1.8","1.8","1.8","456","500","0.25","0.46","",""
"2581","HAND PUMP WATER AT KILA GATE NEAR
RAMBAGH MITHILA UNIVERSITY,
DARBHANGA","BIHAR","23","27","7.64","7.89","484","521","1","1","0.3","0.32","1.8","1.8","1.8","2","294","300","0.74","1.04","",""
"2582","HAND PUMP WATER AT DARBHANGA
BUS STAND, DARBHANGA","BIHAR","26","26","7.62","7.62","402","402","1","1","0.32","0.32","1.8","1.8","1.8","1.8","240","240","0.2","0.2","",""
"2583","HAND PUMP WATER AT BUS STAND,
GOPALGANJ","BIHAR","26","26","7.01","7.13","768","1398","1","1","0.45","1.9","1.8","1.8","1.8","4.5","628","744","0.42","0.95","",""
"2584","HAND PUMP WATER AT THAWAY
MANDIR CAMPUS, GOPALGANJ","BIHAR","27","28","7.13","7.16","820","1078","1","1","0.71","4.54","1.8","4.5","1.8","7.8","420","698","0.2","0.36","",""
"2585","TAP WATER NEAR PANI TANKI AT
JEHANABAD COURT, JEHANABAD","BIHAR","20","25","7.05","7.08","702","1379","1","1","0.5","5.25","1.8","1.8","1.8","1.8","328","842","0.56","1.32","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2586","HAND PUMP WATER AT BUS STAND,
KATIHAR","BIHAR","19","24","6.57","7.58","443","550","1","1","0.3","0.53","1.8","13","1.8","23","160","284","0.34","1.6","",""
"2587","HAND PUMP WATER NEAR SADAR
HOSPITAL, KHAGARIA","BIHAR","21","26","6.88","7.68","898","910","1","1","0.4","4.37","1.8","1.8","1.8","1.8","480","526","1.48","1.53","",""
"2588","HAND PUMP WATER AT D.M OFFICE,
KISHANGANJ","BIHAR","22","26","6.77","7.52","415","481","1","1","0.64","4.58","1.8","13","1.8","23","186","220","1.46","1.46","",""
"2589","HAND PUMP WATER NEAR D.M OFFICE,
MADHEPURA","BIHAR","20","28","7.09","7.82","705","758","1","1","0.3","0.3","1.8","22000","1.8","28000","300","476","1.5","3.13","",""
"2590","HAND PUMP WATER AT COLLECTRIATE
OFFICE, MADHUBANI","BIHAR","24","28","7.52","7.65","535","894","1","1","0.3","0.77","1.8","1.8","1.8","1.8","284","500","0.2","0.36","",""
"2591","TAP WATER INSIDE THE CAMPUS OF
GOVERNMENT TOURIST CAFETERIA,
NALANDA","BIHAR","21","27","7.05","7.11","507","936","1","1","1.39","3.6","1.8","1.8","23","23","402","910","0.71","1.39","",""
"2592","HAND WATER AT CIVIL COURT BIHAR
SHARIF, NALANDA","BIHAR","20","28","7.09","7.52","941","1055","1","1","5.64","11.5","1.8","1.8","1.8","13","736","926","0.56","1.08","",""
"2593","HANDPUMP WATER AT COLLECTRIATE
CAMPUS,NAWADAH","BIHAR","19","26","7.02","7.13","571","802","1","1","0.5","3.06","1.8","1.8","1.8","1.8","488","608","0.37","0.92","",""
"2594","HAND PUMP WATER NEAR SADAR
HOSPITAL,SAHARSA","BIHAR","19","26","6.73","7.45","886","1120","1","1","0.3","1.2","1.8","1.8","1.8","1.8","540","632","0.68","1.53","",""
"2595","GROUND WATER FROM COLLECTRIATE
CAMPUS ,SAMASTIPUR","BIHAR","29","29","7.38","7.38","821","821","1","1","0.3","0.3","1.8","1.8","1.8","1.8","380","380","1.32","1.32","",""
"2596","GROUND WATER FROM SRI RAM JANKI
MANDIR, SITAMARHI","BIHAR","22","24","7.16","7.2","398","715","1","1","0.3","0.81","1.8","1.8","1.8","1.8","202","514","0.2","0.45","",""
"2597","GROUND WATER AT COLLECTRIATE
CAMPUS, SIWAN","BIHAR","27","28","7.09","7.15","650","1742","1","1","0.3","5.89","1.8","1.8","1.8","23","400","1328","1.42","1.55","",""
"2598","BOREWELL WATER NEAR DHARMSHALA
SASARAM, ROHTAS","BIHAR","24","28","6.64","7.7","354","414","1","1","0.3","0.4","1.8","1.8","1.8","1.8","236","240","0.3","0.85","",""
"2599","GROUND WATER BUS STAND SASARAM,
ROHTAS","BIHAR","25","28","6.89","7.3","678","1225","1","1","0.8","1.4","1.8","2300","1.8","7900","504","918","0.5","1","",""
"2600","GROUND WATER AT RAILWAY STATION
CAMPUS,HAJIPUR AT VAISHALI","BIHAR","21","29","7.36","7.37","761","871","1","1.3","0.3","2.27","1.8","1.8","1.8","1.8","478","802","0.2","1.27","",""
"3138","GROUND WATER FROM ARA NEAR
RAILWAY STATION, ARA","BIHAR","21","22","7.08","7.12","537","779","1","1","0.3","1.64","1.8","1.8","1.8","1.8","300","372","0.2","0.72","",""
"3139","GROUND WATER NEAR BUS STAND
ARARIA","BIHAR","22","28","6.89","7.66","489","523","1","1","0.3","2","1.8","1.8","1.8","1.8","240","330","0.62","0.62","",""
"3140","GROUND WATER AT RAILWAY SATION,
BETTIAH","BIHAR","23","31","7.02","7.04","462","498","1","1","0.3","0.3","1.8","1.8","1.8","1.8","296","322","0.51","0.64","",""
"3141","GROUND WATER AT LORD BUDDHA
TEMPLE OUTSIDE MAIN
TEMPLE,BODHGAYA","BIHAR","21","25","7.02","7.05","676","899","1","1","0.3","1.5","1.8","1.8","1.8","23","382","558","0.26","0.76","",""
"3142","GROUND WATER FROMN BUS STAND
CHOWK,BIKRAMGANJ","BIHAR","28","28","6.91","7.67","534","801","1","1.2","2.5","2.75","1.8","1.8","1.8","1.8","468","476","0.81","1.11","",""
"3143","GROUND WATER FROM BAGAHA BAZAR
BAGAHA","BIHAR","18","25","6.93","7.03","726","986","1","1","0.3","3.13","1.8","7","13","23","464","720","1.12","1.58","",""
"3144","GROUND WATER NEAR ANS
COLLEGE,BARH","BIHAR","21","22","7.01","7.13","688","830","1","1","0.3","0.3","1.8","1.8","1.8","1.8","420","530","0.52","1.45","",""
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3145","GROUND WATER NEAR MUFFASIL THANA
MORE,DEHRI ON SONE","BIHAR","27","28","6.52","7.1","598","974","1","1","6.3","6.33","1.8","2200","1.8","2800","400","736","0.2","0.59","",""
"3146","GROUND WATER FROM DUMRAON,PANI
TANKI (PHED)","BIHAR","22","22","7.13","7.39","640","771","1","1","0.3","2.12","1.8","1.8","1.8","1.8","310","460","1.02","1.79","",""
"3147","GROUND WATER FROM JAYNAGAR
RAILWAY STATION ,JAYNAGAR","BIHAR","23","29","7.58","7.67","555","662","1","1","0.3","0.3","1.8","1.8","1.8","1.8","320","380","0.54","0.56","",""
"3148","GROUND WATER FROM JAMALPUR
POLICE STATION, JAMALPUR","BIHAR","23","27","6.82","7.08","916","946","1","1","0.89","4.12","1.8","1.8","1.8","1.8","602","604","0.2","0.64","",""
"3149","GROUND WATER FROM KUDRA RAILWAY
STATION, KAIMUR","BIHAR","27","28","7.03","7.49","565","1472","1","1","0.3","0.92","1.8","13","1.8","23","412","1094","0.6","0.72","",""
"3150","GROUND WATER AT MAIN ROAD NEAR
KALI MANIR,MANER","BIHAR","20","20","7.02","7.09","811","814","1","1","0.86","1.83","1.8","1.8","1.8","1.8","424","500","0.31","0.74","",""
"3151","GROUND WATER FROM GOVT. GUEST
HOUSE MOHANIA","BIHAR","22","29","6.84","7.17","655","1366","1","1","0.5","1.78","1.8","1.8","1.8","1.8","472","838","0.23","1.07","",""
"3152","GROUND WATER FROM OLD BUS
STAND,NARKATIAGANJ","BIHAR","18","18","7.05","7.05","267","267","1","1","0.3","0.3","22000","22000","28000","28000","206","206","1.22","1.22","",""
"3153","GROUND WATER NEAR CHURCH HIGH
SCHOOL,PIRO","BIHAR","28","28","6.86","7.43","745","1559","1","1","0.3","2.6","1.8","1700","1.8","2800","470","1044","0.36","0.79","",""
"3154","GROUND WATER FROM RAMKUND GAYA","BIHAR","19","26","7.12","7.33","676","1099","1","1","0.5","2.09","4.5","4.5","7.8","7.8","580","672","1","1.15","",""
"3155","GROUND WATER FROM SUPUAL BUS
STAND, SUPAUL","BIHAR","19","28","7.01","7.53","924","992","1","1.2","0.39","4.62","1.8","7900","1.8","11000","304","688","0.82","1.37","",""
"3156","GROUND WATER FROM SAMASTIPUR
BUS STAND,SAMASTIPUR","BIHAR","29","29","7.46","7.46","1240","1240","1","1","1.9","1.9","1.8","1.8","1.8","1.8","680","680","","","",""
"3157","GROUND WATER FROM J.P. PARK
CHOWK ,SULTANGANJ","BIHAR","18","23","6.96","7.12","710","1430","1","1","0.3","4.96","1.8","1300","1.8","2300","530","530","0.2","0.2","",""
"3158","GROUND WATER NEAR GOVT. HOSPITAL,
SHERGHATI","BIHAR","20","26","7.02","7.02","741","802","1","1","2.5","3.06","1.8","1.8","1.8","1.8","592","608","0.79","0.92","",""
"3159","GROUND WATER FROM RAJKIYA HIGH
SCHOOL ,SHAHPUR","BIHAR","20","21","7.15","7.19","845","847","1","1","1.68","2.5","1.8","1.8","1.8","1.8","460","542","1.32","1.82","",""
"3160","GROUND WATER FROM RAXAUL BUS
STAND RAXAUL","BIHAR","24","33","6.78","7.11","309","341","1","1","0.3","0.3","1.8","1.8","1.8","1.8","220","220","0.68","1.32","",""
"3161","GROUND WATER NEAR BUS STAND
KATIHAR","BIHAR","19","24","6.99","7.44","883","1270","1","1","1.49","10.93","1.8","7900","1.8","11000","380","704","0.86","1.09","",""
"3162","GROUND WATER NEAR VAISHALI BLOCK
OFFICE,AT HAJIPUR, VAISHALI","BIHAR","20","20","7.43","7.43","939","939","1","1","0.3","0.3","","","","","560","560","0.41","0.41","",""
"Water Quality Data of Ground Water in Chandigarh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2043","GROUND WATER PALSORA CHANDIGARH","CHANDIGARH","24","29","7.1","7.5","833","963","1","1","3.8","3.9","1.8","1.8","31","49","480","500","0.2","0.31","",""
"2044","GROUND DHANAS CHANDIGARH","CHANDIGARH","24","28","7.4","7.5","388","425","1","1","2.2","2.7","1.8","1.8","1.8","1.8","220","249","0.2","0.24","",""
"2045","GROUND WATER DADU MAJRA COLONY,
CHANDIGARH","CHANDIGARH","24","28","7.4","7.5","638","989","1","1","3.6","3.7","1.8","1.8","46","47","334","416","0.2","0.29","",""
"5448","Ground Water at sector -20","CHANDIGARH","23","28","7.4","7.6","699","719","1","1","3.7","4.1","1.8","1.8","32","46","396","450","0.2","0.2","",""
"5449","Ground Water at sector -35","CHANDIGARH","23","28","7.2","7.3","754","979","1","1","3.9","4.3","1.8","1.8","26","40","424","494","0.22","0.22","",""
"5450","Ground Water Near dumping ground (vill-
dadu majra)","CHANDIGARH","24","28","7.2","7.5","741","812","1","1","3.6","3.6","1.8","1.8","33","46","474","478","0.2","0.2","",""
"Water Quality Data of Ground Water in Chhattisgarh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1620","GROUND WATER AT NEW HIG-11
TATIBANDH","CHHATTISGARH","24","25","7.02","7.63","183","294","","","0","0","","","","","182","276","","","",""
"1621","GROUND WATER AT AT M/S PRAKRITI
INDUSTRIES RAWABHATA","CHHATTISGARH","23","25","7.18","7.4","178","198","2.1","2.1","0","0","","","","","158","172","","","",""
"1622","BORE WELL WATER SAMPLE NEAR TIFRA
I.A. BILASPUR","CHHATTISGARH","25.5","27.6","7.1","7.6","448","448","1","1","3.02","3.24","1.8","1.8","1.8","1.8","256","258","","","",""
"1623","BORE WELL WATER SAMPLE FROM BEC
FERTILIZER OUTSIDE OF FACTORY
PREMISES (NEAR BANAK CHOWK)","CHHATTISGARH","25.4","27.8","7.2","7.7","436","440","1","1","3.98","4.04","1.8","1.8","1.8","1.8","251.6","254","","","",""
"3171","HAND PUMP WATER 14/10 NEPALI
MOHLLA, SHANKAR","CHHATTISGARH","26","27","7.42","7.7","156","418","1","1.4","0.4","0.55","","","11","580","128","190","","","",""
"3172","BOREWELL/ HANDPUMP IN ROGBAHRI
VILLAGE, KORBA","CHHATTISGARH","26","26.4","7.43","7.45","321","480","1","1","0.32","7.12","2","2","22","26","120","138","","","0.00049","0.00049"
"3173","BOREWELL/ HANDPUMP IN
PARSABHATA, BALCO, KORBA","CHHATTISGARH","26.3","26.3","7.4","7.41","418","482","1","1","0.88","5.17","2","2","20","20","120","120","","","0.00049","0.00049"
"3174","BOREWELL/ HANDPUMP IN DHANRAS,
NTPC, KORBA","CHHATTISGARH","26.3","26.3","7.32","7.42","232","436","1","2.4","0.54","6.1","2","4","14","24","135","180","","","0.00049","0.00049"
"Water Quality Data of Ground Water in Daman And Diu, Dadra And Nagar Haveli Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"1440","WELL AT SOMNATH INDUSTRIAL ESTATE,
DAMAN","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","28","30","7.08","7.58","335","1930","1","1","0.82","10","2","21","24","40","474","1280","0.2","0.46","0.00049","0.042"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"2448","GROUND WATER FROM VILLAGE
BHIMPORE, DAMAN","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","28","32","7.28","7.91","1033","1469","1","1","0.32","5.62","1.8","1.8","1.8","1.8","692","984","0.2","0.56","0.00049","0.031"
"2449","WELL AT VILLAGE RINGANWADA,
DAMAN","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","28","31","7.19","7.64","940","1891","1","1","1.82","8.42","2","9","4","13","628","1260","0.22","0.55","0.00049","0.086"
"2450","WELL AT VILLAGE DUNETHA, DAMAN","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","27","30","7.19","7.57","642","757","1","1","1.7","3.01","1.8","23","2","23","428","506","0.2","0.36","0.00049","0.022"
"2451","WELL AT VILLAGE DABHEL, DAMAN","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","27","30","7.06","7.32","575","2697","1","1","2.72","4.92","1.8","1.8","1.8","6","384","1788","0.2","0.38","0.00049","0.081"
"2452","WELL AT VILLAGE KACHIGAM, DAMAN","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","25","30","7.53","7.58","539","1007","1","1","3.72","9.42","11","27","33","84","360","674","0.29","1.19","0.00049","0.02"
"2453","WELL AT VILLAGE KHANVEL, DNH","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","28","30","7.16","7.5","402","424","1","1","0.32","0.92","1.8","11","1.8","14","260","284","0.2","0.34","0.00049","0.057"
"2454","WELL AT VILLAGE ATHAL, DNH","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","27","29","7.39","7.81","567","6341","1","1","0.52","2.92","1.8","1.8","1.8","1.8","376","510","0.2","0.55","0.00049","0.038"
"2455","WELL AT VILLAGE MASAT, DNH","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","28","30","7.47","7.96","280","1410","1","1","0.32","1.82","1.8","2","1.8","48","180","938","0.2","0.4","0.00049","0.022"
"2456","WELL AT VILLAGE PIPERIA, DNH","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","26","31","7.42","8.25","293","3612","1","1","0.32","7.02","1.8","1.8","1.8","1.8","188","2420","0.2","0.89","0.00049","0.099"
"2457","WELL AT VILLAGE GALONDA, DNH","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","28","30","7.25","7.88","454","989","1","1","0.32","1.72","1.8","1.8","1.8","1.8","296","662","0.25","1.61","0.01","0.084"
"2458","WELL AT VILLAGE DADRA","DAMAN AND DIU, DADRA AND
NAGAR HAVELI","27","30","7.63","8.12","276","2840","1","1","0.32","7.72","2","17","6","24","184","1894","0.2","0.65","0.00049","0.42"
"Water Quality Data of Ground Water in Delhi Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"3477","WELL AT ALIPUR, DELHI","DELHI","","","7.9","7.9","","","","","0.3","0.3","","","","","4360","4360","","","",""
"3479","WELL AT AURBINDO MARG, DELHI","DELHI","","","7.6","8.3","","","","","20","28","","","","","2790","3010","","","",""
"3480","WELL AT BAWANA, DELHI","DELHI","","","8.3","8.3","","","","","0.3","0.3","","","","","396","396","","","",""
